Id,mes,chuvaA,tempA,bilro,Producao
1,10,172.7,24.95,1.15,682.45
2,11,77.7,25.22,0.29,1720.97
3,12,22.4,25.81,2.74,16289.83
4,1,194.1,25.93,3.2,18989.96
5,2,159.8,26.07,1.21,7180.58
6,3,126.2,25.99,2.77,16467.86
7,4,209.2,25.25,3.77,22372.55
8,5,63.5,24.24,6.57,39018.43
9,6,53.7,21.88,3.37,19998.8
10,7,262.5,21.5,1.13,6705.83
11,8,113.2,21.08,0.17,1008.84
12,9,82,22.12,0.3,1780.31
13,10,134.1,24.01,0.14,1039.28
14,11,118.1,24.79,0.06,445.4
15,12,149.4,25.32,1.01,7534.76
16,1,147.8,25.07,2.04,15143.76
17,2,66.6,25.16,3.28,24348.8
18,3,241.8,25.55,2.25,16739.8
19,4,265.4,24.76,1.5,11135.12
20,5,111.6,23.32,1.05,7831.7
21,6,65.1,22.18,1.97,14624.12
22,7,188.6,21.17,1.89,14030.25
23,8,92.6,21.73,0.2,1484.68
24,9,61.5,21.23,0.15,1113.51
25,10,255.7,23.56,0.3,1201.43
26,11,178.9,23.46,0.56,2251.82
27,12,127.3,24.31,2.92,11636.7
28,1,154,24.56,6.78,26980.66
29,2,154.8,24.02,6.19,24632.73
30,3,150.2,24.49,7.03,27989.86
31,4,58.5,24.27,5.48,21790.49
32,5,117.4,22.45,3.46,13758.08
33,6,127.1,22.46,1.6,6371.01
34,7,94.4,21.47,5.51,21920.93
35,8,230.2,20.95,3.61,14348.5
36,9,34.4,22.34,0.55,2210.63
37,10,134.7,23,0.41,1834.89
38,11,130.1,24.55,0.59,2689.01
39,12,17.2,25.04,2.04,9226.42
40,1,199.1,25.56,3.17,14328.39
41,2,229,25.12,1.42,6430.24
42,3,51.1,25.62,3.9,17611.71
43,4,108.7,24.5,3.56,16069.1
44,5,72.3,23.57,5.47,24691.47
45,6,241.9,22.75,4.12,18582.74
46,7,128.2,21.99,1.91,8625.61
47,8,125.1,21.62,1.62,7307.09
48,9,158.5,22.64,1.17,5283.85
49,10,119.3,23.58,0.39,1647.11
50,11,377,24.38,0.15,647.25
51,12,112.1,25.61,1.26,5301.18
52,1,193.3,25.23,5.11,21436.56
53,2,127.3,25.36,7.01,29372.63
54,3,242,25.27,6.77,28375.19
55,4,30.5,25.27,4.9,20542.97
56,5,114.2,24,3.24,13594.68
57,6,185.7,22.62,2.26,9457.59
58,7,217.7,22.22,2.11,8846.57
59,8,38.3,21.72,1.48,6221.34
60,9,90.1,22.67,1.3,5472.65
61,10,112.7,23.68,0.77,2883.49
62,11,152.8,24.54,0.66,2465.47
63,12,315.4,24.7,3.5,12971.44
64,1,99.8,25.16,9.64,35715.19
65,2,114.8,25.5,6.7,24821.05
66,3,80.3,25.79,4.13,15153.26
67,4,42.5,25.36,2.72,10083.69
68,5,67.4,24.64,2.32,8612.08
69,6,361.4,22.36,2.28,8458.52
70,7,179.5,21.57,4.03,14910.12
71,8,131.4,21.45,2.79,10343.88
72,9,52.7,23.24,1.27,4717.66
73,10,216.5,24.44,0.12,404.82
74,11,168.4,26.07,0.43,1427.22
75,12,61.6,26.51,2.46,8062.49
76,1,187.1,26.73,1.44,4718.5
77,2,9.5,26.7,1.5,5008.46
78,3,70.6,26.85,1.8,5887.77
79,4,91.1,25.22,1.08,3524.75
80,5,66,24.03,4.53,14829.56
81,6,35.8,23.31,8.29,27102.18
82,7,180.5,22.11,2.1,6857.45
83,8,131.2,22.18,3.23,10566.72
84,9,51.9,22.5,5.03,16430.01
85,10,216.5,24.32,1.43,5063.04
86,11,168.4,24.82,1.24,4402.82
87,12,61.6,25.81,1.02,3630.18
88,1,67.3,26.04,1.54,5486.15
