Real - ceplac,Estimada 1 – ceplac,Estimada 2 – ceplac,previsao-A,previsao-A-1,previsao-A-1+1,erro-A - %,erroA-1 - %,erroA-1+1 - %
2022,2010,1906,2097,1652,1692,"3,58","18,30","16,32"
4270,4244,4024,3753,3523,2778,"12,11","17,49","34,94"
11799,11727,11120,10033,11052,7645,"14,97","6,33","35,21"
17699,17591,16680,18347,19600,19040,"3,53","9,70","7,04"
22980,22841,21658,21696,23590,22711,"5,59","2,59","1,17"
24357,24237,22982,22389,24944,26255,"8,08","2,35","7,23"
20508,20384,19382,19769,21694,19455,"3,60","5,47","5,13"
18570,18485,17528,18165,19574,17502,"2,18","5,13","5,75"
12642,12565,11914,13231,14143,13163,"4,45","10,61","12,86"
8568,8544,8102,8711,9832,8561,"1,64","12,86","0,08"
4326,4300,4077,4460,4825,4049,"3,00","10,34","6,40"
3483,3462,3283,3678,3303,2632,"5,30","5,17","24,43"
