--------------------
BDMEP - INMET
--------------------
Estação           : CAETITE - BA (OMM: 83339)
Latitude  (graus) : -14.06
Longitude (graus) : -42.48
Altitude  (metros): 882.47
Estação Operante
Inicio de operação: 01/01/1907
Periodo solicitado dos dados: 01/01/1970 a 01/01/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;
83339;31/01/1970;0000;386.4;27.358065;17.554839;
83339;28/02/1970;0000;68.5;27.282143;16.903571;
83339;31/03/1970;0000;60;28.096774;17.167742;
83339;30/04/1970;0000;49.8;26.81;16.876667;
83339;31/05/1970;0000;19.9;25.667742;15.6;
83339;30/06/1970;0000;25.8;24.783333;15.166667;
83339;31/07/1970;0000;36.3;23.622581;11.790323;
83339;31/08/1970;0000;14.7;25.725806;12.280645;
83339;30/09/1970;0000;4;27.833333;16.693333;
83339;31/10/1970;0000;191.1;27.541935;17.619355;
83339;30/11/1970;0000;306.9;28.15;17.98;
83339;31/12/1970;0000;42.1;28.258065;18.187097;
83339;31/03/1973;0000;242.2;28.975862;19.410345;
83339;30/04/1973;0000;2.6;27.826667;18.786667;
83339;31/05/1973;0000;7;27.925806;17.990323;
83339;30/06/1973;0000;0;27.43;16.76;
83339;31/07/1973;0000;9.8;26.435484;15.53871;
83339;31/08/1973;0000;1;28.251613;16.012903;
83339;30/09/1973;0000;5.1;28.95;17.458333;
83339;31/10/1973;0000;81.7;28.06129;17.267742;
83339;30/11/1973;0000;211.9;28.24;18.02;
83339;31/12/1973;0000;43.3;27.909677;17.764516;
83339;31/01/1974;0000;44.6;28.219355;17.616129;
83339;28/02/1974;0000;71.7;28.621429;18.171429;
83339;31/03/1974;0000;258.7;27.041935;18.383871;
83339;30/04/1974;0000;34.2;26.826667;17.57;
83339;31/05/1974;0000;12.1;25.719355;16.851613;
83339;30/06/1974;0000;1.4;25.216667;14.733333;
83339;31/07/1974;0000;6.1;23.609677;13.374194;
83339;31/08/1974;0000;6.3;25.903226;14.564516;
83339;30/09/1974;0000;3.7;27.5;15.876667;
83339;31/10/1974;0000;76.9;27.932258;;
83339;30/11/1974;0000;158.2;25.753333;17.848276;
83339;31/12/1974;0000;197.5;27.006452;17.545161;
83339;31/01/1975;0000;74.8;27.751613;18.132258;
83339;28/02/1975;0000;26.5;28.292857;18.046429;
83339;31/03/1975;0000;53.5;28.383871;18.351613;
83339;30/04/1975;0000;153.3;25.606667;17.943333;
83339;31/05/1975;0000;1.2;24.851613;15.741935;
83339;30/06/1975;0000;3.2;24.533333;15.236667;
83339;31/07/1975;0000;7.1;23.741935;14.483871;
83339;31/08/1975;0000;18.2;25;15.025806;
83339;30/09/1975;0000;0.5;26.806667;16.02;
83339;31/10/1975;0000;168.2;27.941935;17.93871;
83339;30/11/1975;0000;126.3;26.973333;17.766667;
83339;31/12/1975;0000;78.5;27.954839;17.458065;
83339;31/01/1976;0000;0;30.877419;17.893548;
83339;29/02/1976;0000;84.2;28.706897;18.4;
83339;31/03/1976;0000;1;30.5;18.370968;
83339;30/04/1976;0000;0;29.01;17.84;
83339;31/05/1976;0000;0.8;27.593548;17.045161;
83339;30/06/1976;0000;1.3;25.91;15.16;
83339;31/07/1976;0000;12.5;24.767742;14.916129;
83339;31/08/1976;0000;1;26.635484;14.83871;
83339;30/09/1976;0000;10.8;29;17.14;
83339;31/10/1976;0000;146.9;25.706452;16.554839;
83339;30/11/1976;0000;265.1;25.67;17.903333;
83339;31/12/1976;0000;258.9;26.874194;17.241935;
83339;31/01/1977;0000;195.2;26.264516;17.780645;
83339;28/02/1977;0000;82.5;25.521429;17.253571;
83339;31/03/1977;0000;0.4;28.780645;17.4;
83339;30/04/1977;0000;82.8;27.09;17.63;
83339;31/05/1977;0000;52;24.432258;15.93871;
83339;30/06/1977;0000;15.6;23.983333;15.303333;
83339;31/07/1977;0000;19.8;24.267742;14.229032;
83339;31/08/1977;0000;2.4;27.225806;13.903226;
83339;30/09/1977;0000;36.7;26.036667;15.83;
83339;31/10/1977;0000;42.2;26.783871;16.758065;
83339;30/11/1977;0000;134.2;28.406667;18.116667;
83339;31/12/1977;0000;251.2;27.122581;17.958065;
83339;31/01/1978;0000;128.8;26.354839;17.603226;
83339;28/02/1978;0000;201.7;25.785714;17.432143;
83339;31/03/1978;0000;194.7;25.345161;17.041935;
83339;30/04/1978;0000;163.4;24.85;16.976667;
83339;31/05/1978;0000;11.4;24.816129;15.796774;
83339;30/06/1978;0000;23.2;22.306667;13.83;
83339;31/07/1978;0000;8.2;24.009677;14.380645;
83339;31/08/1978;0000;9.6;24.758065;13.596774;
83339;30/09/1978;0000;2.7;;15.363333;
83339;31/10/1978;0000;59.9;;16.951613;
83339;30/11/1978;0000;114.7;;16.844828;
83339;31/12/1978;0000;189.5;;17.358065;
83339;31/01/1979;0000;320;;17.909677;
83339;28/02/1979;0000;251.4;26.105882;17.464286;
83339;31/03/1979;0000;79.3;26.777419;;
83339;30/04/1979;0000;34.4;25.45;;
83339;31/05/1979;0000;6.8;25.33871;;
83339;30/06/1979;0000;10.5;22.36;;
83339;31/07/1979;0000;0.2;23.822581;;
83339;31/08/1979;0000;9.7;25.541935;15.090323;
83339;30/09/1979;0000;1.3;;15.96;
83339;31/10/1979;0000;51.5;;17.409677;
83339;30/11/1979;0000;250.5;;17.906667;
83339;31/12/1979;0000;154.2;29.342857;18.367742;
83339;31/01/1980;0000;234.3;;18.53871;
83339;29/02/1980;0000;279.1;;18.9375;
83339;31/03/1980;0000;32.8;;17.335484;
83339;30/04/1980;0000;40.3;;17.463333;
83339;31/05/1980;0000;2.1;;16.693548;
83339;30/06/1980;0000;16.2;;15.73;
83339;31/07/1980;0000;4;;14.332258;
83339;31/08/1980;0000;6.8;25.670968;14.622581;
83339;30/09/1980;0000;25.8;27.343333;16.453333;
83339;31/10/1980;0000;12.4;28.264516;16.796774;
83339;30/11/1980;0000;33.3;27.64;18.29;
83339;31/12/1980;0000;302.3;25.948387;18.309677;
83339;31/01/1986;0000;105.4;26.696774;17.803226;
83339;28/02/1986;0000;60.5;27.332143;18.242857;
83339;31/03/1986;0000;44.5;27.577419;17.967742;
83339;30/04/1986;0000;14;28.066667;17.95;
83339;31/05/1986;0000;1.6;26.925806;16.877419;
83339;31/07/1986;0000;1.1;24.854839;14.554839;
83339;31/08/1986;0000;7.6;27.203226;15.63871;
83339;31/10/1986;0000;79.6;26.745161;16.396774;
83339;31/12/1986;0000;198.7;27.893548;18.083871;
83339;31/01/1987;0000;66.9;29.006452;18.406452;
83339;28/02/1987;0000;24.2;30.396429;18.767857;
83339;31/03/1987;0000;105.2;27.8;19.112903;
83339;30/04/1987;0000;12.5;27.686667;18.386667;
83339;31/05/1987;0000;14;28.396774;17.406452;
83339;30/06/1987;0000;5.6;26.083333;16.003333;
83339;31/07/1987;0000;3.4;25.729032;15.73871;
83339;31/08/1987;0000;1;27.7;15.812903;
83339;30/09/1987;0000;6;28.13;17.153333;
83339;31/10/1987;0000;35.2;30.935484;18.596774;
83339;30/11/1987;0000;135.4;27.846667;19.373333;
83339;31/12/1987;0000;191.5;26.606452;19.167742;
83339;31/01/1988;0000;50.9;28.248387;18.916129;
83339;29/02/1988;0000;34.1;30.9;19.155172;
83339;31/03/1988;0000;239.6;27.074194;19.106452;
83339;30/04/1988;0000;9.5;27.106667;18.476667;
83339;31/05/1988;0000;13.4;27.709677;17.312903;
83339;30/06/1988;0000;15.6;25.073333;15.343333;
83339;31/08/1988;0000;3;24.658065;13.916129;
83339;30/09/1988;0000;18.8;27.23;15.586667;
83339;31/10/1988;0000;90.9;28.696774;17.729032;
83339;30/11/1988;0000;52.8;27.883333;17.963333;
83339;31/12/1988;0000;224.5;26.4;17.541935;
83339;28/02/1989;0000;41.4;30.278571;18.385714;
83339;31/03/1989;0000;134.3;27.896774;18.806452;
83339;31/01/1993;0000;51.2;27.346667;16.476667;
83339;28/02/1993;0000;27.2;28.285714;17.067857;
