--------------------
BDMEP - INMET
--------------------
Estação           : CARAVELAS - BA (OMM: 83498)
Latitude  (graus) : -17.73
Longitude (graus) : -39.25
Altitude  (metros): 2.88
Estação Operante
Inicio de operação: 01/05/1930
Periodo solicitado dos dados: 01/01/1970 a 01/01/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;
83498;31/01/1970;0000;56.8;29.448387;22.987097;
83498;28/02/1970;0000;24.4;29.985714;22.735714;
83498;31/03/1970;0000;28.5;30.319355;22.241935;
83498;30/04/1970;0000;100.9;28.726667;21.75;
83498;31/05/1970;0000;62.8;28.125806;20.509677;
83498;30/06/1970;0000;88;26.85;19.706667;
83498;31/07/1970;0000;77;25.229032;18.719355;
83498;31/08/1970;0000;58.4;25.529032;18.822581;
83498;30/09/1970;0000;49.3;26.656667;19.983333;
83498;31/10/1970;0000;411.5;26.832258;21.316129;
83498;30/11/1970;0000;262.2;27.386667;21.443333;
83498;31/12/1970;0000;28.4;29.803226;22.522581;
83498;31/01/1973;0000;12;31.383871;23.648387;
83498;28/02/1973;0000;13;32.046429;24.082143;
83498;31/03/1973;0000;82.3;30.645161;24.03871;
83498;30/04/1973;0000;80.6;30.146667;23.236667;
83498;31/05/1973;0000;151.7;27.877419;21.13871;
83498;30/06/1973;0000;40.3;27.936667;20.603333;
83498;31/07/1973;0000;108.2;26.870968;19.741935;
83498;31/08/1973;0000;21;27.080645;18.86129;
83498;30/09/1973;0000;61;26.823333;20.033333;
83498;31/10/1973;0000;130.2;;;
83498;30/11/1973;0000;295.5;27.823333;21.61;
83498;31/12/1973;0000;140.5;29.47;22.980952;
83498;31/01/1974;0000;164.3;30.003226;23.158065;
83498;28/02/1974;0000;123;29.9;22.528571;
83498;31/03/1974;0000;125.9;29.619355;22.832258;
83498;30/04/1974;0000;201.1;28.77;22.16;
83498;31/05/1974;0000;162.3;27.906452;21.977419;
83498;30/06/1974;0000;94;26.333333;19.496667;
83498;31/07/1974;0000;14.3;25.496774;17.47931;
83498;31/08/1974;0000;91.9;26.325806;18.893548;
83498;30/09/1974;0000;47.4;27.353333;20.203448;
83498;31/10/1974;0000;96.3;28.106452;21.666667;
83498;30/11/1974;0000;222.8;27.606897;21.356667;
