--------------------
BDMEP - INMET
--------------------
Estação           : GUARATINGA - BA (OMM: 83446)
Latitude  (graus) : -16.73
Longitude (graus) : -39.54
Altitude  (metros): 194.67
Estação Operante
Inicio de operação: 10/09/1973
Periodo solicitado dos dados: 01/01/1970 a 01/01/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;
83446;31/01/1977;0000;154.7;30.32;20.580645;
83446;28/02/1977;0000;253.6;28.692857;20.348148;
83446;31/03/1977;0000;53.2;31.141935;20.509677;
83446;30/04/1977;0000;164.9;29.286667;20.783333;
83446;31/05/1977;0000;128.5;26.767742;18.074194;
83446;30/06/1977;0000;94.6;25.716667;17.553333;
83446;31/07/1977;0000;76.2;25.9;16.986667;
83446;31/08/1977;0000;9;27.645161;15.6;
83446;30/09/1977;0000;162.8;26.816667;18.39;
83446;31/10/1977;0000;164.3;27.006667;18.983333;
83446;30/11/1977;0000;86.8;29.386667;20.436667;
83446;31/12/1977;0000;128.2;29.858065;20.370968;
83446;31/01/1978;0000;105.4;29.429032;20.451613;
83446;28/02/1978;0000;284.1;29.433333;20.003704;
83446;31/03/1978;0000;112.6;;20.223333;
83446;30/04/1978;0000;197.1;27.865217;20.263333;
83446;31/05/1978;0000;155;27.770968;18.503226;
83446;30/06/1978;0000;73.1;24.926667;17.29;
83446;31/07/1978;0000;114.1;25.990323;18.058065;
83446;31/08/1978;0000;100.1;26.033333;16.593548;
83446;30/09/1978;0000;138.5;26.326667;17.346667;
83446;31/10/1978;0000;41.1;28.412903;19.106452;
83446;30/11/1978;0000;61.7;28.746667;19.49;
83446;31/12/1978;0000;152.2;29.193548;20.416129;
83446;31/01/1979;0000;288.4;28.674194;20.719355;
83446;28/02/1979;0000;170.8;30.089286;20.932143;
83446;31/03/1979;0000;153.5;29.109677;20.441935;
83446;30/04/1979;0000;58.6;28.716667;19.37;
83446;31/05/1979;0000;17.4;29.003226;18.735484;
83446;30/06/1979;0000;54.9;25.44;16.713333;
