--------------------
BDMEP - INMET
--------------------
Estação           : CANAVIEIRAS - BA (OMM: 83398)
Latitude  (graus) : -15.66
Longitude (graus) : -38.95
Altitude  (metros): 3.87
Estação Operante
Inicio de operação: 01/01/1930
Periodo solicitado dos dados: 01/01/1970 a 01/01/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;
83398;31/01/1977;0000;124.2;29.467742;21.96129;
83398;28/02/1977;0000;131.5;29.178571;21.975;
83398;31/03/1977;0000;45.9;30.222581;21.522581;
83398;30/04/1977;0000;106.2;29.556667;22.14;
83398;31/05/1977;0000;95.1;27.619355;19.696774;
83398;30/06/1977;0000;270.5;26.646667;19.523333;
83398;31/07/1977;0000;113.2;26.322581;17.974194;
83398;31/08/1977;0000;36.1;26.454839;16.958065;
83398;30/09/1977;0000;106.5;26.6;19.273333;
83398;31/10/1977;0000;501;26.780645;20.512903;
83398;30/11/1977;0000;32.9;28.793333;21.98;
83398;31/12/1977;0000;206.3;29.1;21.86129;
83398;31/01/1978;0000;189.4;28.951613;22.545161;
83398;28/02/1978;0000;338.3;28.757143;22.325;
83398;31/03/1978;0000;268.7;29.122581;22.451613;
83398;30/04/1978;0000;208.8;28.306667;21.696667;
83398;31/05/1978;0000;103.9;27.925806;20.370968;
83398;30/06/1978;0000;130.2;26.266667;18.943333;
83398;31/07/1978;0000;362.7;26.490323;19.806452;
83398;31/08/1978;0000;151.8;26.193548;17.912903;
83398;30/09/1978;0000;132.3;26.3;18.99;
83398;31/10/1978;0000;72.5;27.316129;20.658065;
83398;30/11/1978;0000;69.5;27.823333;20.733333;
83398;31/12/1978;0000;73.4;28.503226;21.883871;
83398;31/01/1979;0000;121.9;28.719355;22.358065;
83398;28/02/1979;0000;118.7;29.167857;21.567857;
83398;31/03/1979;0000;157.4;29.119355;21.948387;
83398;30/04/1979;0000;196.8;28.633333;21.186667;
83398;31/05/1979;0000;59.6;28.180645;19.874194;
83398;30/06/1979;0000;119.9;25.816667;18.173333;
83398;31/07/1979;0000;78.1;25.848387;17.770968;
83398;31/08/1979;0000;160.3;26.103226;18.632258;
83398;30/09/1979;0000;67.8;26.226667;18.96;
83398;31/10/1979;0000;149.6;27.545161;21.303226;
83398;30/11/1979;0000;80.7;28.233333;21.383333;
83398;31/12/1979;0000;41.4;29.709677;21.335484;
83398;31/01/1980;0000;338.1;29.045161;22.616129;
83398;29/02/1980;0000;220.4;28.972414;22.882759;
83398;31/03/1980;0000;186.2;29.093548;21.306452;
83398;30/04/1980;0000;114.7;29.093333;21.23;
83398;31/05/1980;0000;211.9;28.122581;20.348387;
83398;30/06/1980;0000;190.7;26.696667;19.213333;
83398;31/07/1980;0000;125.6;26.345161;17.832258;
83398;31/08/1980;0000;101.2;26.477419;18.170968;
83398;30/09/1980;0000;131;26.25;19.393333;
83398;31/10/1980;0000;118.9;27.364516;19.680645;
83398;30/11/1980;0000;108.5;27.936667;20.986667;
83398;31/12/1980;0000;188.8;28.793548;22.490323;
83398;31/01/1986;0000;103.2;29.725806;;
83398;28/02/1986;0000;47.3;30.510714;;
83398;31/03/1986;0000;156;30.048387;;
83398;30/04/1986;0000;98.7;29.46;;
83398;31/05/1986;0000;93.9;28.877419;;
83398;31/07/1986;0000;105.3;25.858065;;
83398;31/08/1986;0000;39.9;26.974194;;
83398;31/10/1986;0000;175.4;27.087097;;
83398;31/12/1986;0000;49.1;29.380645;;
83398;31/01/1987;0000;94.6;29.729032;;
83398;28/02/1987;0000;123.9;30.410714;;
83398;31/03/1987;0000;157.3;29.967742;;
83398;30/04/1987;0000;163.3;29.81;;
83398;31/05/1987;0000;78.8;29.3;;
83398;30/06/1987;0000;71.7;27.703333;;
83398;31/07/1987;0000;167.2;27.36129;;
83398;31/08/1987;0000;52.3;27.387097;;
83398;30/09/1987;0000;57.4;28.193333;;
83398;31/10/1987;0000;186;29.032258;;
83398;30/11/1987;0000;106.4;29.23;;
83398;31/12/1987;0000;148.8;29.541935;;
83398;31/01/1988;0000;83.4;30.4;;
83398;29/02/1988;0000;105.3;30.848276;;
83398;31/03/1988;0000;136.5;29.951613;;
83398;30/04/1988;0000;80.3;30.186667;;
83398;31/05/1988;0000;103.3;29.467742;;
83398;30/06/1988;0000;122.5;27.253333;;
83398;31/08/1988;0000;83.9;26.129032;;
83398;30/09/1988;0000;58.6;27.3;;
83398;31/10/1988;0000;91.3;28.248387;;
83398;30/11/1988;0000;76.8;29.043333;;
83398;31/12/1988;0000;204;28.616129;;
83398;31/01/1989;0000;51.7;30.306452;;
83398;28/02/1989;0000;14.7;31.307143;;
83398;31/03/1989;0000;205.5;30.858065;;
83398;31/01/1993;0000;25;;;
83398;28/02/1993;0000;69.6;;;
83398;31/03/1993;0000;45.6;;;
83398;30/04/1993;0000;171.9;;;
83398;31/05/1993;0000;158.3;;;
83398;30/06/1993;0000;206.5;;;
83398;31/07/1993;0000;82.7;;;
83398;31/08/1993;0000;97.5;26.277419;16.322581;
83398;30/09/1993;0000;57.5;27.486667;17.863333;
83398;31/10/1993;0000;63.2;28.132258;21.016129;
83398;30/11/1993;0000;58.7;29.016667;21.633333;
83398;31/12/1993;0000;109.3;29.280645;22.512903;
83398;31/01/1994;0000;23.6;30.987097;22.790323;
83398;28/02/1994;0000;162.5;30.478571;22.560714;
83398;31/03/1994;0000;51.3;30.429032;22.887097;
83398;30/04/1994;0000;140.7;29.696667;22.296667;
83398;31/05/1994;0000;82.6;28.63871;21.054839;
83398;30/06/1994;0000;212.6;27.29;19.536667;
83398;31/07/1994;0000;118.6;26.509677;19.164516;
83398;31/08/1994;0000;79.3;26.535484;18.187097;
83398;30/09/1994;0000;88.1;26.916667;18.753333;
83398;31/10/1994;0000;217.3;27.954839;20.13871;
83398;30/11/1994;0000;114.1;28.38;21.466667;
83398;31/12/1994;0000;126.7;29.412903;22.235484;
83398;31/01/1995;0000;21.6;30.445161;22.051613;
83398;28/02/1995;0000;10.6;31.432143;22.939286;
83398;31/03/1995;0000;108.8;31.090323;22.922581;
83398;30/04/1995;0000;337.3;29.41;22.84;
83398;31/05/1995;0000;173.4;28.567742;22.012903;
