--------------------
BDMEP - INMET
--------------------
Estação           : VITORIA DA CONQUISTA - BA (OMM: 83344)
Latitude  (graus) : -14.88
Longitude (graus) : -40.79
Altitude  (metros): 874.81
Estação Operante
Inicio de operação: 01/01/1936
Periodo solicitado dos dados: 01/01/1970 a 01/01/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;
83344;31/12/1975;0000;102.8;25.47619;16.471429;
83344;31/01/1976;0000;3.2;27.303226;15.825806;
83344;29/02/1976;0000;50.2;26.868966;17.151724;
83344;31/03/1976;0000;16.6;27.387097;17.064516;
83344;30/04/1976;0000;7.9;26.19;16.523333;
83344;31/05/1976;0000;0.6;25.63871;16.251613;
83344;30/06/1976;0000;14.7;23.613333;13.843333;
83344;31/07/1976;0000;34.5;22.148387;14.051613;
83344;31/08/1976;0000;4.1;23.964516;14.051613;
83344;30/09/1976;0000;23.9;26.776667;15.953333;
83344;31/10/1976;0000;83.2;24.145161;16.006452;
83344;30/11/1976;0000;225.8;24.743333;17.64;
83344;31/12/1976;0000;48.2;26.9;17.358065;
83344;31/01/1977;0000;111.8;25.551613;17.716129;
83344;28/02/1977;0000;79.8;24.846429;17.021429;
83344;31/03/1977;0000;2.4;27.622581;16.993548;
83344;30/04/1977;0000;67.3;25.743333;17.506667;
83344;31/05/1977;0000;35.4;23.03871;15.374194;
83344;30/06/1977;0000;30.1;21.983333;15.283333;
83344;31/07/1977;0000;18.7;21.932258;13.887097;
83344;31/08/1977;0000;5.4;24.56129;13.806452;
83344;30/09/1977;0000;132;23.543333;15.216667;
83344;31/10/1977;0000;36.2;24.496774;16.329032;
83344;30/11/1977;0000;62.1;27.16;17.506667;
83344;31/12/1977;0000;213.9;26.458065;17.312903;
83344;31/01/1978;0000;258.8;25.535484;17.445161;
83344;28/02/1978;0000;131.2;25.457143;17.921429;
83344;31/03/1978;0000;139.3;25.387097;17.435484;
83344;30/04/1978;0000;137.8;23.95;17.33;
83344;31/05/1978;0000;31.6;23.654839;16.009677;
83344;30/06/1978;0000;26.7;21.063333;14.386667;
83344;31/07/1978;0000;34.1;22.535484;15.13871;
83344;31/08/1978;0000;15;22.751613;13.558065;
83344;30/09/1978;0000;8.9;23.543333;14.46;
83344;31/10/1978;0000;33.4;26.212903;16.109677;
83344;30/11/1978;0000;66.6;25.966667;16.556667;
83344;31/12/1978;0000;76.4;25.412903;17.125806;
83344;31/01/1979;0000;162;25.693548;17.86129;
