Id,outubro,out/nov,novembro,dezembro,dez/jan,janeiro,jan/fev,fevereiro,marco,mar/abr,abril,maio,mai/jun,junho,julho,jul/agos,agosto,setembro,total,Producao
1,0.15,0.08,0.29,1.28,4.21,3.2,1.0,1.21,3.23,2.32,3.77,5.89,7.26,3.37,1.58,0.68,0.17,0.3,38.99,152.21
2,0.21,0.07,0.06,0.26,1.77,2.04,1.0,3.28,2.51,2.00,1.50,1.03,1.08,1.97,2.94,0.84,0.20,0.15,21.91,115.47
3,0.17,0.44,0.57,3.10,2.75,6.79,1.0,6.20,7.89,6.19,5.48,3.59,3.33,1.60,4.21,6.82,3.61,0.56,63.28,175.09
4,0.38,0.43,0.6,1.12,2.97,3.17,1.0,1.42,3.48,4.32,3.56,4.97,5.97,4.12,2.14,1.68,1.62,1.17,43.12,132.68
5,0.37,0.42,0.15,0.47,2.06,5.11,1.0,7.01,7.06,6.47,4.9,4.42,2.06,2.26,2.29,1.93,1.48,1.31,49.77,150.91
6,0.91,0.64,0.67,1.53,5.48,9.65,1.0,6.7,4.6,3.59,2.72,3.23,1.43,2.28,4.78,3.28,2.79,1.27,55.55,151.13
,,,,,,,1.0,,,,,,,,,,,,,
,,,,,,,1.0,,,,,,,,,,,,,
,,,,,,,1.0,,,,,,,,,,,,,
,,,,,,,1.0,,,,,,,,,,,,,
