Id,chuva -3,chuva -2,chuva -1,chuvaA,chuva +1,chuva +2,temp-3,temp-2,temp-1,tempA,temp+1,temp+2,bilro,Producao
1,332.4,181.8,65.5,172.7,77.7,22.4,21.5,21.1,22.1,24.95,25.22,25.81,1.15,682.45
2,354.5,238.2,172.7,77.7,22.4,194.1,21.1,22.1,24.95,25.22,25.81,25.93,0.29,1720.97
3,315.9,250.4,77.7,22.4,194.1,159.8,22.1,24.95,25.22,25.81,25.93,26.07,2.74,16289.83
4,272.8,100.1,22.4,194.1,159.8,126.2,24.95,25.22,25.81,25.93,26.07,25.99,3.2,18989.96
5,294.2,216.5,194.1,159.8,126.2,209.2,25.22,25.81,25.93,26.07,25.99,25.25,1.21,7180.58
6,376.3,353.9,159.8,126.2,209.2,63.5,25.81,25.93,26.07,25.99,25.25,24.24,2.77,16467.86
7,480.1,286,126.2,209.2,63.5,53.7,25.93,26.07,25.99,25.25,24.24,21.88,3.77,22372.55
8,495.2,335.4,209.2,63.5,53.7,262.5,26.07,25.99,25.25,24.24,21.88,21.5,6.57,39018.43
9,398.9,272.7,63.5,53.7,262.5,113.2,25.99,25.25,24.24,21.88,21.5,21.08,3.37,19998.8
10,326.4,117.2,53.7,262.5,113.2,82,25.25,24.24,21.88,21.5,21.08,22.12,1.13,6705.83
11,379.7,316.2,262.5,113.2,82,134.1,24.24,21.88,21.5,21.08,22.12,24.01,0.17,1008.84
12,429.4,375.7,113.2,82,134.1,118.1,21.88,21.5,21.08,22.12,24.01,24.79,0.3,1780.31
13,457.7,195.2,82,134.1,118.1,149.4,21.5,21.08,22.12,24.01,24.79,25.32,0.14,1039.28
14,329.3,216.1,134.1,118.1,149.4,147.8,21.08,22.12,24.01,24.79,25.32,25.07,0.06,445.4
15,334.2,252.2,118.1,149.4,147.8,66.6,22.12,24.01,24.79,25.32,25.07,25.16,1.01,7534.76
16,401.6,267.5,149.4,147.8,66.6,241.8,24.01,24.79,25.32,25.07,25.16,25.55,2.04,15143.76
17,415.3,297.2,147.8,66.6,241.8,265.4,24.79,25.32,25.07,25.16,25.55,24.76,3.28,24348.8
18,363.8,214.4,66.6,241.8,265.4,111.6,25.32,25.07,25.16,25.55,24.76,23.32,2.25,16739.8
19,456.2,308.4,241.8,265.4,111.6,65.1,25.07,25.16,25.55,24.76,23.32,22.18,1.5,11135.12
20,573.8,507.2,265.4,111.6,65.1,188.6,25.16,25.55,24.76,23.32,22.18,21.17,1.05,7831.7
21,618.8,377,111.6,65.1,188.6,92.6,25.55,24.76,23.32,22.18,21.17,21.73,1.97,14624.12
22,442.1,176.7,65.1,188.6,92.6,61.5,24.76,23.32,22.18,21.17,21.73,21.23,1.89,14030.25
23,365.3,253.7,188.6,92.6,61.5,255.7,23.32,22.18,21.17,21.73,21.23,23.56,0.2,1484.68
